Transaction_ID,Customer_ID,Account_Number,Transaction_Date,Transaction_Type,Transaction_Amount,Currency,Balance_After_Transaction,Branch_ID,Branch_Location,Merchant_ID,Merchant_Name,POS_Terminal_ID,Card_Type,Card_Number,Customer_Age,Customer_Income,Customer_Credit_Score,Loan_Status,Fraud_Flag,Transaction_Mode,Country,Regulatory_Compliance
T10000031,C38266,A4586139213,19841122,Bill Payment,,GBP,2193.34,B611,Mumbai,M4963,Merchant_92,POS3352,Debit,4732038267867588639,60,157228,369,Defaulted,No,Online  ,India,Non-Compliant
T10000032,C54374,A8281641403,,,3883.19,EUR,17830.02,B417,Mumbai,M8756,Merchant_33,POS1599,Prepaid,2232722589939847,39,116474,709,Not Applicable,No,Offline,India,Compliant
T10000033,C20494,A6564731230,04/12/2005,ATM Withdrawal,3636.8,JPY,19620.52,B176,New York,M3621,Merchant_4,POS3339,Prepaid,4867565818080646,59,120362,333,Not Applicable,Yes,ATM,,Compliant
T10000034,C83619,A5800746936,1970/06/06,Loan Repayment,2461.09,INR,,B798,Tokyo,M9882,Merchant_38,POS5914,Credit,4330878935510951596,50,72685,542,Defaulted,No,,UK,Non-Compliant
T10000035,C19666,A5613503623,09/02/1990,Online Purchase,918.0,GBP,16796.43,B411,Berlin,M4694,Merchant_45,POS9501,Debit,213159485969627,26,181068,814,Closed,No,,USA,Non-Compliant  
T10000036,C94136,A9403748506,19/10/1978,Bill Payment  ,798.82,GBP,6939.07,B851,Tokyo,M7070,Merchant_66,POS2739,Debit,3524272354541985,21,120702,728,Closed,No,ATM,,Non-Compliant
T10000037,C38199,A7800411181,,Bill Payment,3365.88,INR,17766.66,B882,New York,M4189,Merchant_47,POS5728,Credit,342901391798044,57,51145,399,Active,Yes,,Germany,Non-Compliant
T10000038,C28321,A7928074841,22-02-1982,Online Purchase,4143.16,JPY,7998.8,B526,Mumbai,M1436,Merchant_77,POS8775,Debit,3504727419301653,,145946,689,,Yes,ATM,UK,Non-Compliant
T10000039,C18163,A4031281545,20000508,ATM Withdrawal,4783.86,JPY,15667.81,B758,Tokyo,M5038,Merchant_36,POS5890,Credit,4681069149345582,62,103110,580,Not Applicable,No,,India,Non-Compliant
T10000040,C80592,A2166605339,1976-01-28,,4526.87,,8852.73,B202,,M3587,Merchant_53,POS8793,Debit,3559523295297980,21,43451,537,Defaulted,Yes  ,ATM,Japan  ,Non-Compliant
T10000041,C81211,A7546898241,24-06-1981,Deposit,3658.28,,7405.13,B790,Berlin,M7643,Merchant_55,POS9442,,4522234430987350,26,,692,Active,Yes,,India,Non-Compliant
T10000042,C48671,A1948540266,02-01-1992,Loan Repayment,4564.86,USD,12320.47,B638,New York,M2838,Merchant_8,POS9972,Prepaid,4912726082623,46,73844,,Not Applicable,No  ,Offline,India,Compliant
T10000043,C80931,A5269728610,1999-02-09,Transfer,3831.48,GBP,9522.21,B486,,M9835,Merchant_18,POS6697,Credit,565587443203,32,25959,774,Not Applicable,Yes,POS,,Non-Compliant
T10000044,C12050,A2033653860,,Withdrawal,4362.34,INR,5128.11,B157,Berlin,M6224,Merchant_74,POS6253,Credit,4686005814179711,37,165940,479,Not Applicable  ,No,ATM,Germany,Compliant
T10000045,C70689,A4928783441,19911128,Loan Repayment,1024.65,GBP  ,1979.2,B719,,M2192,Merchant_25,POS4555,Debit,3505726699085803,31,50753,790,Closed,No,Offline,UK,Non-Compliant
T10000046,C36624,A6887132821,,Online Purchase,1311.26,JPY,4727.64,B683,Berlin,M6530,Merchant_33,POS9005,Prepaid,6011266967137861,28,163273,360,Defaulted,Yes,,,Non-Compliant
T10000047,C97392,A9215204939,19041986  ,,3613.74,,16449.99,B925,Berlin  ,M4948,Merchant_25,POS9625,Debit,503838647181,43,83755,531,Defaulted,,ATM,India  ,Non-Compliant
T10000048,C22499,A4947728706,14-03-1987,Loan Repayment  ,3425.3,JPY  ,1297.5,B247,New York,M4939,Merchant_73,POS7375,Prepaid,6011835242930009,62,151279,,Not Applicable  ,,Offline,Germany,Non-Compliant
T10000049,C59816,A7951902330,22-07-1986  ,Bill Payment,3700.88,,18916.24,B879,Tokyo  ,M8353,Merchant_72,POS9395,Debit  ,372129717157165,73,96506,386,Closed,No,Offline  ,Japan,Compliant
T10000050,C91924,A3648572296,,,1984.5,GBP,7359.99,B980,Mumbai,M4290,Merchant_62,POS6147,Credit,503896066183,49,83550,587,Not Applicable,Yes,Online,Germany,Compliant
T10000051,C63627,A8185384294,11-12-2023,ATM Withdrawal,1891.18,JPY,10625.64,B808,New York,M6890,Merchant_90,POS9796,Prepaid  ,2514455282150185,59,167644,709,Active,,POS,USA,Non-Compliant
T10000052,C87147,A5942411853,1981-12-04,Withdrawal,716.96,GBP,,B839,New York,M2885,Merchant_3,POS6620,Prepaid,5233245683649718,51,61978,736,Closed,Yes,Online,UK,Compliant
T10000053,C18200,A3479690385,,Transfer,3356.8,EUR,12153.09,B965,New York,M5873,Merchant_79,POS2388,Prepaid,38684155850214,62,121833,441,Not Applicable,Yes,POS,,Non-Compliant
T10000054,C35575,A8796293088,19860916,ATM Withdrawal,2224.82,,15460.08,B381,Berlin,M8492,Merchant_73,POS9115,Prepaid,180008347578234,41,30907,751,Not Applicable,Yes,ATM,India,Compliant
T10000055,C55957,A2838963536,,Deposit,2854.67,JPY,14377.02,B373,Mumbai,M2560,Merchant_18,POS7743,Credit,6011982365490302,33,104435,702,Active,Yes,Online,Japan,Compliant
T10000056,C22208,A7590302909,12-06-1975,Bill Payment,1695.4,JPY,17988.94,B147,London,M1266,Merchant_16,POS3588,Debit,4888957322393,76,190392,,Active,,Offline,UK,Compliant  
T10000057,C78084,A8215470878,,Transfer,2117.35,INR  ,2960.83,B406,Berlin,M3181,Merchant_83,POS3340,Credit  ,3528125026599086,58,127927,753,Defaulted,Yes,ATM,Japan,Non-Compliant
T10000058,C96298,A9056616444,13-05-1987,ATM Withdrawal,3921.17,USD,10492.07,B640,London,M3162,Merchant_50,POS7895,Debit,3513878853681842,,,,Defaulted,No,ATM,USA,Compliant
T10000059,C36633,A6698349136,20041016,ATM Withdrawal,2193.06,,2638.04,B564,Mumbai,M3877,Merchant_16,POS1207,Prepaid  ,3559261494153379,68,87960,429,Active,Yes,Online,India,Compliant
T10000060,C58193,A5970608512,1988-02-14,Withdrawal,229.75,,7915.55,B283,London,M7870,Merchant_29,POS6272,Credit,2707791040435949  ,25,33807,828,,No,Offline,India,Non-Compliant
T10000061,C58270,A2052811909,2019-05-08  ,ATM Withdrawal,,GBP,2975.03,B343,New York  ,M5584,Merchant_12,POS1719,Credit,3545721839269955,80,,436,,Yes,POS,UK,Non-Compliant
T10000062,C36569,A1468034755,,Bill Payment,1797.85,GBP,3278.36,B802,Tokyo,M1660,Merchant_28,POS6370,,6011412136781250,,98339,,Not Applicable,,Online,,Compliant
T10000063,C58790,A9950881177,19720726,Withdrawal,3233.47,INR,,B572,London,M7471,Merchant_64,POS1483,Debit,38483817369519,35,,551,Not Applicable,,ATM,USA,Compliant
T10000064,C57069,A8651205525,2009/10/23,Bill Payment  ,156.22,,19839.1,B885,Mumbai,M2640,Merchant_32,POS4951,Debit,4064578013877641768,78,121822,477,Active,Yes,POS,UK,
T10000065,C40490,A3584122005,1985-04-08  ,Online Purchase,4594.72,,3806.53,B245,London,M2188,Merchant_48,POS7481,Prepaid,180046534910356,78,187579,624,Active,Yes,Offline,USA,Compliant
T10000066,C90134,A3429019820,,,1740.58,INR,14856.43,B111,Tokyo,M6742,Merchant_33,POS2770,,4675976750133339,80,128532,687,Not Applicable,Yes  ,,Japan  ,Non-Compliant  
T10000067,C54295,A5428082088,,Bill Payment,1035.7,JPY,6040.03,B343,,M9043,Merchant_20,POS1893,,,70,177342,,Closed,No,ATM,,Non-Compliant
T10000068,C58418,A6096334921,1976-08-18,Deposit,764.14,,7532.04,B874,Mumbai  ,M9561,Merchant_54,POS9773,Prepaid,4340890072586,23,29103,829,Closed,Yes,POS,,Non-Compliant
T10000069,C29382,A6402580787,23021997  ,Loan Repayment,1388.24,INR,10928.68,B524,Berlin,M2641,Merchant_14,POS2654,Debit,2294022998177278,59,179635,476,Closed,,Offline  ,Japan  ,Non-Compliant
T10000070,C99764,A4731897202,17-01-1997,Online Purchase,2089.7,USD,8736.24,B628,Tokyo,M3604,Merchant_9,POS6097,Prepaid,2266093845711506,19,72619,,Defaulted,No,ATM,India,Non-Compliant
T10000071,C86923,A7662927609,,Transfer,1432.5,USD,5072.05,B330,Berlin,M1328,Merchant_100,POS1145,Debit,180081082242324  ,56,100074,581,Not Applicable,Yes,ATM  ,USA,Non-Compliant
T10000072,C54077,A9539945315,11112024,ATM Withdrawal,1500.97,USD,16244.91,B776,Tokyo,M9148,Merchant_38,POS5250,Debit,3554133162412509,70,78291,787,Active,Yes,Offline,Germany,Compliant
T10000073,C50250,A9103931356,2010/07/10,Online Purchase  ,2366.38,INR,,B974,Berlin,M7704,Merchant_73,POS8496,Credit,4453617491856170,58,102159,304,Closed,Yes,Online,UK,
T10000074,C79963,A1818520766,,ATM Withdrawal,1728.31,GBP,,B397,New York,M6535,Merchant_56,POS3192,Debit,213154202198360,76,,529,Closed  ,Yes,Online,USA,Compliant
T10000075,C12587,A9797102584,1981-05-27,Loan Repayment,1035.42,INR,13587.18,B720,Berlin,M9381,Merchant_93,POS2928,Debit,2716920875300998,34,72867,719,Defaulted,No  ,Online,Germany,Compliant
T10000076,C43540,A3767405445,23/07/1990,,4067.76,EUR,9093.91,B971,,M3267,Merchant_85,POS3793,Debit,4581155320828,23,109842,710,Not Applicable,No,POS,India,Compliant
T10000077,C84572,A8208643631,20-06-1982,,3425.48,USD,17864.28,B164,Tokyo  ,M6542,Merchant_67,POS9570,Prepaid  ,4544609189121414,59,166366,,Closed,No  ,Offline,India,Non-Compliant
T10000078,C70174,A7756133581,1976-08-25,Withdrawal,98.67,INR  ,16043.88,B752,Tokyo,M8474,Merchant_44,POS6953,Credit,30374774732377,56,192272,763,,No,Offline,,Compliant
T10000079,C63636,A5754363475,,Withdrawal,2290.66,EUR,18605.9,B702,London,M9260,Merchant_18,POS9172,Credit  ,3529639549263607,50,66452,477,Closed,No,POS,Japan,Non-Compliant
T10000080,C77147,A8991678061,14092020,Deposit,1459.99,USD,19208.2,B810,Tokyo,M8870,Merchant_75,POS7839,Prepaid,3531472544166864,,,,Defaulted,Yes,POS,Japan,Non-Compliant
T10000081,C98542,A4714465905,03091989,Loan Repayment,1445.32,GBP,19540.63,B665,,M5117,Merchant_26,POS8259,Credit,4448294953770,52,71503,498,Closed  ,Yes,Offline,,Non-Compliant
T10000082,C30146,A9283395204,,ATM Withdrawal,2457.85,,14445.95,B288,,M9276,Merchant_21,POS7814,Prepaid  ,6511593061275445,39,77264,843,Defaulted,Yes,POS,Japan,Compliant
T10000083,C47070,A8604215219,19860329,Withdrawal,,INR,,B167,Berlin,M7950,Merchant_14,POS4368,Prepaid,38471382710092,70,199842,770,,Yes,Online,Japan,Non-Compliant  
T10000084,C80101,A9615270274,29022024,,4242.77,JPY,,B883,New York,M1504,Merchant_61,POS3561,Prepaid,3516748711591557,36,57768,682,Defaulted,,ATM,Japan,Non-Compliant
T10000085,C77181,A1611840071,20-07-2020,Deposit,,JPY,,B200,Berlin,M6420,Merchant_46,POS3100,Prepaid,180051551021590,38,106073,613,Closed,No,Offline,UK,Non-Compliant
T10000086,C57020,A8622566062,21/07/2007  ,Online Purchase,4457.57,INR,17142.16,B932,Mumbai,M4485,Merchant_5,POS5269,Prepaid,3526146119843944,43,174560,597,Defaulted,Yes,POS,Germany,Compliant
T10000087,C57028,A1173601852,14/01/1992,,1041.8,EUR,,B764,Tokyo,M5480,Merchant_95,POS5314,Prepaid,30386368320666,59,40404,685,Closed,No,Online,Germany,Non-Compliant
T10000088,C57477,A4508795329,29052023,ATM Withdrawal,2400.32,,1819.74,B264,Berlin  ,M1916,Merchant_22,POS5231,Credit,4866961949592768,74,193472,387,Not Applicable,No,POS,Germany,Non-Compliant  
T10000089,C60523,A1567851370,2006-01-31,Loan Repayment,3031.5,JPY,11097.17,B195,New York,M9835,Merchant_1,POS8069,Prepaid,180036675537894,78,119938,400,Active,Yes,ATM  ,USA,Non-Compliant
T10000090,C51405,A7050943542,,ATM Withdrawal,2685.16,JPY,15344.47,B902,Mumbai,M8925,Merchant_33,POS6024,Prepaid,3574221428771077,60,80233,465,Not Applicable,Yes,Online,UK,Compliant
T10000091,C89826,A9752092528,20/04/1999,ATM Withdrawal,2991.39,USD,4832.44,B923,Mumbai  ,M3776,Merchant_87,POS1590,Debit  ,,35,112570,715,Defaulted  ,No,Offline,Germany,Non-Compliant
T10000092,C63363,A3174276085,,Transfer,2571.3,JPY,14189.65,B676,New York,M8517,Merchant_88,POS8548,Prepaid,4678445684002735762,68,197448,623,Active  ,Yes,,Germany,Non-Compliant
T10000093,C34925,A1857561275,09052017,Deposit,3096.8,INR  ,12662.71,B654,London,M6167,Merchant_64,POS5501,Debit,4353117895334517820,66,34194,733,Defaulted,Yes,ATM  ,UK,Non-Compliant
T10000094,C45311,A7928143230,,Bill Payment,1867.83,EUR,19606.18,B933,London,M8081,Merchant_49,POS4212,Credit,3577498657841105  ,49,185321,623,Active,Yes,Online,India,Non-Compliant
T10000095,C43779,A2478071244,,Online Purchase,2888.5,JPY,7747.07,B599,New York,M5694,Merchant_60,POS3373,Credit,502089617943,43,,651,Active,No,Offline,UK,Compliant
T10000096,C42983,A1343875431,21-07-1991  ,,3856.96,INR,2601.91,B499,Tokyo,M8260,Merchant_81,POS3071,Credit,,40,105249,778,Active,Yes,ATM,Japan,Compliant
T10000097,C57943,A7065369178,18-03-2015  ,Transfer,3441.97,GBP,16161.33,B915,London,M8161,Merchant_51,POS5094,Credit,4102552295568766024,23,82799,578,Active,Yes,ATM,USA,
T10000098,C80119,A1095051435,1992-06-20  ,,,USD,16189.78,B574,London,M3393,Merchant_8,POS5366,,4402351751043723,71,120028,424,Closed,Yes  ,Online,UK,Non-Compliant
T10000099,C82034,A3237361243,1994/03/24,Transfer,1096.76,GBP,6245.9,B908,,M1688,Merchant_75,POS8786,Prepaid,,28,199816,,Closed,Yes,Offline,,Non-Compliant
T10000100,C15175,A8288721755,25-11-2008,Transfer,4158.43,JPY,9538.3,B654,Tokyo,M9289,Merchant_49,POS4039,Credit,3523165310969145,22,161284,494,Not Applicable,No,,,Compliant  
T10000101,C73618,A1822987217,1983-06-29,ATM Withdrawal,,USD  ,13459.24,B952,London,M6913,Merchant_72,POS7814,Debit  ,349565647312448,71,76596,399,Closed,Yes,ATM,USA,Non-Compliant
T10000102,C33644,A7657050979,20040205  ,Transfer,4984.28,GBP,14791.49,B676,Mumbai,M5162,Merchant_47,POS8412,Debit  ,2260052252064797,51,,527,,No,,UK,Non-Compliant
T10000103,C43586,A8778504632,2002-01-31,Deposit,3966.59,JPY  ,1710.06,B490,London,M6478,Merchant_45,POS8115,Debit,4619128395564757908,72,22997,,Defaulted,No,Online,UK,Compliant
T10000104,C61684,A1635708419,,Loan Repayment,1320.16,GBP,3562.54,B599,New York,M9589,Merchant_32,POS4970,Credit,377353820516738,25,131028,495,Defaulted,No,ATM,Germany,Compliant  
T10000105,C47707,A5353951329,17092003,,1052.96,USD,11427.2,B244,London,M9631,Merchant_6,POS5185,,4011666717458259105,,191640,368,Active,No  ,POS,India,Compliant
T10000106,C70029,A4060031897,2009-09-20,Transfer,101.68,EUR,19586.64,B931,London,M1482,Merchant_72,POS5590,Credit,675919375658  ,51,180549,532,Closed,No,POS,Germany,Compliant
T10000107,C29025,A5973777930,2004-01-18,Withdrawal,,EUR,8813.78,B941,Tokyo,M3155,Merchant_24,POS1429,Prepaid,4479629538649983832,32,,788,Not Applicable,No,POS,India,Compliant
T10000108,C36812,A1284053367,17/09/1995,Transfer,2143.5,JPY,6945.05,B860,Mumbai,M1630,Merchant_67,POS2791,Debit,213114780912723,52,30289,828,Defaulted,No,POS,India,Non-Compliant
T10000109,C75622,A1486068287,20010826,Deposit,134.31,USD  ,14142.63,B915,Berlin,M2870,Merchant_91,POS8362,Prepaid,180072077933720,50,61916,,Closed,Yes,Online,UK,Compliant  
T10000110,C11600,A7264822511,07/08/1975  ,Deposit,2274.16,JPY,11399.49,B670,,M3429,Merchant_8,POS6718,Credit  ,30500432601444  ,44,62293,481,Active  ,No,Online,India,Non-Compliant
T10000111,C37504,A3988564933,,Loan Repayment,4936.07,JPY,6456.56,B424,Tokyo,M6797,Merchant_17,POS9132,Prepaid,4728964679110981,32,,324,Defaulted,No,,Germany,Compliant
T10000112,C52457,A4294379963,1986-07-22,ATM Withdrawal,4161.89,EUR,,B239,New York,M9797,Merchant_43,POS8577,Debit  ,180016186780464,53,74594,639,,Yes  ,POS,USA,Non-Compliant
T10000113,C14145,A6461039810,2011-03-10,Bill Payment,2630.25,EUR,18353.72,B125,New York,M6572,Merchant_62,POS9579,Debit,501865512252,78,54791,337,,Yes,Online,India,
T10000114,C50913,A6196247660,,Transfer,3358.91,USD  ,4924.97,B426,Tokyo,M5641,Merchant_74,POS5011,,373141682848933,,27600,351,,No,ATM,Germany,Compliant
T10000115,C71039,A3438636480,1985-06-26,,1558.85,GBP,3730.71,B364,Tokyo,M6412,Merchant_42,POS8426,,180041210913493,47,93992,430,Not Applicable,No  ,ATM,USA,Non-Compliant
T10000116,C87459,A9504916685,19770802,Deposit,3699.44,GBP,,B555,Berlin,M2781,Merchant_88,POS7208,Debit,,70,172244,300,Closed,No,Offline,Japan,Non-Compliant
T10000117,C90149,A2263513519,2018/08/02,Withdrawal,1802.63,INR,8491.1,B491,New York,M3841,Merchant_61,POS3278,Credit,4267022758412,36,195653,,Defaulted,No,POS,UK,Non-Compliant
T10000118,C65590,A7227899138,2021/03/14,Withdrawal,1191.38,GBP,,B594,Tokyo,M2311,Merchant_19,POS9624,Debit  ,346021011479762,60,40468,619,Active  ,No,Offline,Japan,Non-Compliant
T10000119,C18050,A7997790446,,Withdrawal,,,10606.33,B384,Tokyo,M5209,Merchant_2,POS2827,Prepaid,3596792306279940,69,81917,840,Active,Yes,ATM,UK,
T10000120,C44654,A1498192006,31-07-2003,Bill Payment,2667.28,GBP,,B916,New York,M9687,Merchant_88,POS1672,Credit,3546201693846940,76,91457,573,Active,Yes,POS,Germany  ,
T10000121,C22805,A3255992861,22121971,Transfer  ,293.84,USD,14453.43,B976,Mumbai,M4027,Merchant_15,POS4018,Debit,,47,92452,631,Defaulted  ,No,Offline  ,USA,Compliant
T10000122,C38624,A2112380464,,Loan Repayment,103.64,INR,6062.29,B500,,M9039,Merchant_62,POS8144,Debit,6525474047019336,18,146370,848,Active,Yes,Online,,Non-Compliant
T10000123,C36623,A6115319619,11071970  ,,3167.63,,1481.93,B344,New York,M6041,Merchant_64,POS9748,Debit  ,,68,126301,835,Closed,,POS  ,Germany,Compliant
T10000124,C22752,A3538508163,,Loan Repayment,4024.22,GBP,11943.37,B956,Berlin,M6496,Merchant_9,POS2978,Debit,2711328798006707,46,,402,Not Applicable  ,,POS,USA,Non-Compliant
T10000125,C93863,A7229502736,30-04-2022,Withdrawal,,EUR  ,4646.15,B197,Mumbai,M9842,Merchant_65,POS4592,Debit,2429046284828730,68,144364,463,,No,Offline,,Compliant
T10000126,C13809,A1498495745,19-06-2020,Transfer,4492.88,INR  ,17527.84,B325,London,M8141,Merchant_19,POS4541,Prepaid,30565779573316,58,90698,,Defaulted,No,Offline,Germany,Compliant
T10000127,C40107,A5666371719,19810616,Loan Repayment,82.37,USD,5225.73,B252,Mumbai,M1724,Merchant_6,POS8711,Prepaid  ,4262562274086,,149836,312,Not Applicable,No,Online,UK,Compliant
T10000128,C28169,A2741009563,1992/03/11,Withdrawal  ,2659.29,EUR,11929.36,B801,London,M1898,Merchant_66,POS6963,Credit,30378618080349,29,37565,509,Active,No,POS,Japan,Non-Compliant  
T10000129,C69298,A5822000305,30112011,Transfer,3369.8,INR,2658.87,B283,Tokyo  ,M5521,Merchant_15,POS3424,Debit,342214938131954  ,80,54610,730,Defaulted  ,No,Offline,USA,Non-Compliant
T10000130,C50172,A2116723521,07/06/2007,,1772.07,USD,11171.02,B279,Berlin,M6187,Merchant_74,POS3072,Debit,30241799528298  ,80,117757,466,Defaulted,No,Offline,USA,Non-Compliant
T10000131,C85199,A3864261005,20020520,Transfer,4501.87,JPY  ,,B156,Mumbai,M4639,Merchant_99,POS5553,,213142307676505,60,154162,802,Defaulted,Yes,ATM,Japan,Compliant
T10000132,C64474,A8746770248,,ATM Withdrawal,4483.18,JPY,6761.39,B637,,M7156,Merchant_12,POS1108,Debit,4414631396503,54,55894,690,,No,ATM,Germany,Non-Compliant
T10000133,C47707,A2791674708,13/11/1990,Withdrawal,,EUR,17498.57,B587,London,M1287,Merchant_34,POS3668,,501818374537,26,33864,729,,No,POS,India,Non-Compliant
T10000134,C99780,A8730413737,1976/10/10,Withdrawal,727.15,EUR,7465.95,B204,Berlin,M4087,Merchant_72,POS9612,Prepaid,4948503132711581,,54401,791,Active,No,Online,Germany,Compliant  
T10000135,C20188,A2852193802,,Online Purchase,2350.72,,13684.14,B901,London,M4277,Merchant_24,POS6759,,3521308210177961,78,112327,812,Closed  ,Yes,POS,India,Non-Compliant
